city,country,pub_location
"Port of Spain, TT",Trinidad & Tobago,"Port of Spain, TT, Trinidad and Tobago"
"Port-au-Prince, HAT",Haiti,"Port-au-Prince, HAT, Haiti"
"Port-au-Prince, HAT",Haiti,"Port-au-Prince, HAT, Haiti"
"Petit-Bourg, GP",Guadeloupe,"Petit-Bourg, GP, Guadeloupe"
"New York, NY",United States,"New York, NY, United States"
"Paris, FR",France,"Paris, FR, France"
"Paris, FR",France,"Paris, FR, France"
"Petit-Bourg, GP",Guadeloupe,"Petit-Bourg, GP, Guadeloupe"
,,","
"Leeds, LDN",England,"Leeds, LDN, England"
"Leeds, LDN",England,"Leeds, LDN, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"Garden City, NY",United States,"Garden City, NY, United States"
La Habana,Cuba,"La Habana, Cuba"
"Princeton, NJ",New Jersey,"Princeton, NJ, New Jersey"
London,England,"London, England"
"Leeds, LDN",England,"Leeds, LDN, England"
"Port of Spain, TT",Trinidad & Tobago,"Port of Spain, TT, Trinidad and Tobago"
"Yorkshire, ENG",England,"Yorkshire, ENG, England"
"Leeds, LDN",England,"Leeds, LDN, England"
"Paris, FR",France,"Paris, FR, France"
"Princeton, N.J,",New Jersey,"Princeton, N.J,, New Jersey"
"Princeton, N.J,",New Jersey,"Princeton, N.J,, New Jersey"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Los Gatos, CA",United States,"Los Gatos, CA, United States"
"Los Gatos, CA",United States,"Los Gatos, CA, United States"
"Oxford ; Portsmouth, N.H.,",United States,"Oxford ; Portsmouth, N.H.,, United States"
"Amherst, M.A",United States,"Amherst, M.A, United States"
"New York, NY",United States,"New York, NY, United States"
"London, LDN",England,"London, LDN, England"
"Amsterdam, AMS",Netherlands,"Amsterdam, AMS, Netherlands"
"Amsterdam, AMS",Netherlands,"Amsterdam, AMS, Netherlands"
"Breda, NB",Netherlands,"Breda, NB, Netherlands"
"Amsterdam, AMS",Netherlands,"Amsterdam, AMS, Netherlands"
"Amsterdam, AMS",Netherlands,"Amsterdam, AMS, Netherlands"
"Den Haag, ZH",Netherlands,"Den Haag, ZH, Netherlands"
"Breda, NB",Netherlands,"Breda, NB, Netherlands"
"Amsterdam, AMS",Netherlands,"Amsterdam, AMS, Netherlands"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Springfield, OH",United States,"Springfield, OH, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Toronto, ONT",Canada,"Toronto, ONT, Canada"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Ambergate, ENG",England,"Ambergate, ENG, England"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Oxford, ENG",England,"Oxford, ENG, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"Brantford, Ont.",Canada,"Brantford, Ont., Canada"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Liverpool,England,"Liverpool, England"
London,Unites Kingdom,"London, Unites Kingdom"
Ambergate,England,"Ambergate, England"
"Frankfurt, GE",Germany,"Frankfurt, GE, Germany"
"Bern, CH",Switzerland,"Bern, CH, Switzerland"
"Riga, LV",Latvia,"Riga, LV, Latvia"
"Riga, LV",Latvia,"Riga, LV, Latvia"
"Rio de Janeiro, BR",Brazil,"Rio de Janeiro, BR, Brazil"
"Lisbon, PT",Portugal,"Lisbon, PT, Portugal"
"Madrid, ESP",Spain,"Madrid, ESP, Spain"
"Madrid, ESP",Spain,"Madrid, ESP, Spain"
"Stockholm, SE",Sweden,"Stockholm, SE, Sweden"
London,England,"London, England"
Beograd; Alnari,Serbia,"Beograd; Alnari, Serbia"
"Stuggart, ZWS",Germany,"Stuggart, ZWS, Germany"
London,England,"London, England"
"Stockholm, SE",Sweden,"Stockholm, SE, Sweden"
"Stockholm, SE",Sweden,"Stockholm, SE, Sweden"
"Stockholm, SE",Sweden,"Stockholm, SE, Sweden"
"Stockholm, SE",Sweden,"Stockholm, SE, Sweden"
London,England,"London, England"
London,England,"London, England"
Paris,France,"Paris, France"
"Reggio Emilia, IT",Italy,"Reggio Emilia, IT, Italy"
"Napoli, IT",Italy,"Napoli, IT, Italy"
"New York, NY",New York,"New York, NY, New York"
"Helsingissä, HKI",Finland,"Helsingissä, HKI, Finland"
"Helsingissä, HKI",Finland,"Helsingissä, HKI, Finland"
"Stockholm, SE",Sweden,"Stockholm, SE, Sweden"
"Stockholm, SE",Sweden,"Stockholm, SE, Sweden"
"Stockholm, SE",Sweden,"Stockholm, SE, Sweden"
Milan,Italy,"Milan, Italy"
"Stockholm, SE",Sweden,"Stockholm, SE, Sweden"
"New York, NY",United States,"New York, NY, United States"
"Frankfurt, GE",Germany,"Frankfurt, GE, Germany"
"Frankfurt, GE",Germany,"Frankfurt, GE, Germany"
London,England,"London, England"
"Frankfurt, GE",Germany,"Frankfurt, GE, Germany"
Tokyo,Japan,"Tokyo, Japan"
Tokyo,Japan,"Tokyo, Japan"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Frankfurt,Germany,"Frankfurt, Germany"
Warszawa,Poland,"Warszawa, Poland"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Lund,Sweden,"Lund, Sweden"
Lund,Sweden,"Lund, Sweden"
Lund,Sweden,"Lund, Sweden"
"New York, NY",United States,"New York, NY, United States"
"Brisbane, QLD",Australia,"Brisbane, QLD, Australia"
Leipzig,Germany,"Leipzig, Germany"
"Stuart, FL",United States,"Stuart, FL, United States"
London,England,"London, England"
London,England,"London, England"
"Nashville, TN",United States,"Nashville, TN, United States"
"Boston, MA",United States,"Boston, MA, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"Toronto, ON",Canada,"Toronto, ON, Canada"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Nendeln,Liechtenstein,"Nendeln, Liechtenstein"
Leeds,England,"Leeds, England"
Lübeck,Germany,"Lübeck, Germany"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Santiago de Cuba,Cuba,"Santiago de Cuba, Cuba"
Rome,Italy,"Rome, Italy"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
"Charlottesville, VA",United States,"Charlottesville, VA, United States"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
São Paulo,Brazil,"São Paulo, Brazil"
"Hygiene, CO",United States,"Hygiene, CO, United States"
London,England,"London, England"
Oxfordshire,England,"Oxfordshire, England"
Oxfordshire,England,"Oxfordshire, England"
Oxfordshire,England,"Oxfordshire, England"
Oxfordshire,England,"Oxfordshire, England"
Oxfordshire,England,"Oxfordshire, England"
Leeds,England,"Leeds, England"
Harlow,England,"Harlow, England"
Harlow,England,"Harlow, England"
Leeds,England,"Leeds, England"
Harlow,England,"Harlow, England"
Oxfordshire,England,"Oxfordshire, England"
Leeds,England,"Leeds, England"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Oxfordshire,England,"Oxfordshire, England"
Kingston,Jamaica,"Kingston, Jamaica"
Berlin,Germany,"Berlin, Germany"
Berlin,Germany,"Berlin, Germany"
Kingston,Jamaica,"Kingston, Jamaica"
Oxfordshire,England,"Oxfordshire, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
Rennes,France,"Rennes, France"
"New York, NY",United States,"New York, NY, United States"
"Portsmouth, NH",United States,"Portsmouth, NH, United States"
"Portsmouth, NH",United States,"Portsmouth, NH, United States"
Valencia,Spain,"Valencia, Spain"
"New York, NY",United States,"New York, NY, United States"
"Edinburg, TX",United States,"Edinburg, TX, United States"
"Toronto, ON",Canada,"Toronto, ON, Canada"
London,England,"London, England"
"Champaign, IL",United States,"Champaign, IL, United States"
"Champaign, IL",United States,"Champaign, IL, United States"
"Washington, DC",United States,"Washington, DC, United States"
"Leeds, ENG",England,"Leeds, ENG, England"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
"New York, NY",United States,"New York, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
"Oxford, ENG",England,"Oxford, ENG, England"
"Charlottesville, VA",United States,"Charlottesville, VA, United States"
"Oxford, ENG",England,"Oxford, ENG, England"
Kingston,Jamaica,"Kingston, Jamaica"
"Harlow, ENG",England,"Harlow, ENG, England"
Melbourne,Australia,"Melbourne, Australia"
"Harlow, ENG",England,"Harlow, ENG, England"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
London,England,"London, England"
"Chatham, NJ",United States,"Chatham, NJ, United States"
"Oxford, ENG",England,"Oxford, ENG, England"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Milan,Italy,"Milan, Italy"
Havana,Cuba,"Havana, Cuba"
Montevideo,Uraguay,"Montevideo, Uruguay"
Havana,Cuba,"Havana, Cuba"
Buenos Aires,Argentina,"Buenos Aires, Argentina"
"New Brunswick, NJ",United States,"New Brunswick, NJ, United States"
"Harlow, ENG",England,"Harlow, ENG, England"
"Harlow, ENG",England,"Harlow, ENG, England"
"Harlow, ENG",England,"Harlow, ENG, England"
"Harlow, ENG",England,"Harlow, ENG, England"
Baghdad,Iraq,"Baghdad, Iraq"
Beijing,China,"Beijing, China"
Beijing,China,"Beijing, China"
Copenhagen,Denmark,"Copenhagen, Denmark"
Copenhagen,Denmark,"Copenhagen, Denmark"
Copenhagen,Denmark,"Copenhagen, Denmark"
Copenhagen,Denmark,"Copenhagen, Denmark"
Copenhagen,Denmark,"Copenhagen, Denmark"
Copenhagen,Denmark,"Copenhagen, Denmark"
Copenhagen,Denmark,"Copenhagen, Denmark"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Freeport, N.Y",United States,"Freeport, N.Y, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"North Stratford, NH",United States,"North Stratford, NH, United States"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Oxford, ENG",England,"Oxford, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
London,England,"London, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Berkeley, CA",United States,"Berkeley, CA, United States"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"Harmondsworth, ENG",England,"Harmondsworth, ENG, England"
London,England,"London, England"
London,England,"London, England"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
München,Germany,"München, Germany"
München,Germany,"München, Germany"
"New York, NY",United States,"New York, NY, United States"
München,Germany,"München, Germany"
Leipzig,Germany,"Leipzig, Germany"
München,Germany,"München, Germany"
Athens,Greece,"Athens, Greece"
Tel Aviv,Israel,"Tel Aviv, Israel"
Den Haag,,"Den Haag,"
Milano,Italy,"Milano, Italy"
Zagreb,,"Zagreb,"
Barcelona,Spain,"Barcelona, Spain"
Mexico D.F.,Mexico,"Mexico D.F., Mexico"
Barcelona; Buenos Aires,,"Barcelona; Buenos Aires,"
Bacrcelona,Spain,"Bacrcelona, Spain"
Buenos Aires,Argentina,"Buenos Aires, Argentina"
,Mexico,", Mexico"
Buenos Aires,Argentina,"Buenos Aires, Argentina"
Barcelona,Spain,"Barcelona, Spain"
Istanbul,Turkey,"Istanbul, Turkey"
Barcelona,Spain,"Barcelona, Spain"
Köln,,"Köln,"
Istanbul,Turkey,"Istanbul, Turkey"
Oxford University Press,England,"Oxford University Press, England"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
La Habana,Cuba,"La Habana, Cuba"
Milano,Italy,"Milano, Italy"
Soul,,"Soul,"
Buenos Aires,Argentina,"Buenos Aires, Argentina"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
Istanbul,Turkey,"Istanbul, Turkey"
,,","
Istanbul,Turkey,"Istanbul, Turkey"
Istanbul,Turkey,"Istanbul, Turkey"
Athena,Greece,"Athena, Greece"
Frankfurt/M.; Berlin,Germany,"Frankfurt/M.; Berlin, Germany"
Stockholm,Sweden,"Stockholm, Sweden"
Barcelona,Spain,"Barcelona, Spain"
Athena,,"Athena,"
Harmondsworth,,"Harmondsworth,"
Bucuresti,,"Bucuresti,"
London,England,"London, England"
,,","
,,","
"New York, NY",United States,"New York, NY, United States"
Budapest,Hungary,"Budapest, Hungary"
Krakow,Poland,"Krakow, Poland"
Paris,France,"Paris, France"
Firenze,Italy,"Firenze, Italy"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
,,","
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
,,","
"New Brunswick, New Jersey",,"New Brunswick, New Jersey,"
"Poitiers (Vienne), France",,"Poitiers (Vienne), France,"
"Vienne, France",,"Vienne, France,"
"Niort, France",,"Niort, France,"
S.l.,,"S.l.,"
La Habana,Cuba,"La Habana, Cuba"
,,","
,,","
La Habana,Cuba,"La Habana, Cuba"
Santiago de Cuba,Cuba,"Santiago de Cuba, Cuba"
,,","
,,","
,,","
,,","
,,","
,,","
La Habana,,"La Habana,"
Matanzas,,"Matanzas,"
La Habana,,"La Habana,"
Matanazas,Cuba,"Matanazas, Cuba"
"Portsmouth, NH",,"Portsmouth, NH,"
,,","
"New York, NY",,"New York, NY,"
,,","
,,","
,,","
,,","
"Indianapolis; New York, NY",,"Indianapolis; New York, NY,"
,,","
"Ann Arbor, Mich., University Microfilms",,"Ann Arbor, Mich., University Microfilms,"
"Indianapolis; New York, NY",,"Indianapolis; New York, NY,"
,,","
,,","
,,","
,,","
,,","
"Tafalla, Navarra",,"Tafalla, Navarra,"
"Miami, FL, Fla",,"Miami, FL, Fla,"
Madrid,,"Madrid,"
,,","
,,","
"New York, NY",,"New York, NY,"
,,","
,,","
,,","
,,","
,,","
,,","
Madrid,,"Madrid,"
Madrid,,"Madrid,"
Barcelona,,"Barcelona,"
,,","
,,","
S.l.,,"S.l.,"
London,England,"London, England"
,,","
London,England,"London, England"
,,","
"New York, NY",,"New York, NY,"
Munich,,"Munich,"
"Coconut Creek, Fla.",,"Coconut Creek, Fla.,"
Paris,,"Paris,"
,,","
"New York, NY",,"New York, NY,"
"Pompano Beach, FL",,"Pompano Beach, FL,"
Paris,,"Paris,"
,,","
,,","
Les Ed. Fran??ais R??unis,,"Les Ed. Fran??ais R??unis,"
,,","
Paris,,"Paris,"
Lewiston,,"Lewiston,"
,,","
Harlow,England,"Harlow, England"
Harlow,England,"Harlow, England"
(London),England,"(London), England"
London,England,"London, England"
Paris; Budapest; Kinshasa,,"Paris; Budapest; Kinshasa,"
Havana,Cuba,"Havana, Cuba"
Port-au-Prince,,"Port-au-Prince,"
"Port of Spain, Trinidad & Tobago",,"Port of Spain, Trinidad & Tobago,"
,,","
Kbh.,,"Kbh.,"
,,","
London,England,"London, England"
Harmondsworth,England,"Harmondsworth, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",,"New York, NY,"
Nendeln (Liechtenstein); Kraus,,"Nendeln (Liechtenstein); Kraus,"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Pp. 207. Hutchinson,,"Pp. 207. Hutchinson,"
"New York, NY",,"New York, NY,"
London,England,"London, England"
,Trinidad & Tobago,", Trinidad & Tobago"
"New York, NY",,"New York, NY,"
"Normal, IL",,"Normal, IL,"
Buenos Aires,,"Buenos Aires,"
,,","
,,","
"Peterborough, Ont.; Orchard Park, NY",,"Peterborough, Ont.; Orchard Park, NY,"
,,","
Paris,,"Paris,"
Barcelona,,"Barcelona,"
London,England,"London, England"
,,","
,,","
,,","
Bristol,England,"Bristol, England"
Harlow,England,"Harlow, England"
Oxford University Press,England,"Oxford University Press, England"
Oxford University Press,England,"Oxford University Press, England"
,,","
,,","
Trinidad & Tobago,,"Trinidad & Tobago,"
Paris,,"Paris,"
Fredensborg,,"Fredensborg,"
London,England,"London, England"
,,","
,,","
,,","
,,","
"Harlow, Essex, England",England,"Harlow, Essex, England, England"
Oxford University Press,England,"Oxford University Press, England"
London,England,"London, England"
London,England,"London, England"
Oxford University Press,England,"Oxford University Press, England"
London u.a.,England,"London u.a., England"
Port of Spain,,"Port of Spain,"
"Burnt Mill, Harlow, Essex, England",,"Burnt Mill, Harlow, Essex, England,"
Paris,,"Paris,"
Oxford University Press,,"Oxford University Press,"
Place of publication not identified,,"Place of publication not identified,"
"Kingston, Jamaica",,"Kingston, Jamaica,"
"Kingston, Jamaica",,"Kingston, Jamaica,"
"Mona, Jamaica",,"Mona, Jamaica,"
Harlow,,"Harlow,"
Trinidad u.a.,,"Trinidad u.a.,"
Harlow,England,"Harlow, England"
Trinidad,,"Trinidad,"
Leeds,England,"Leeds, England"
,,","
Gainesville,,"Gainesville,"
Yorkshire,England,"Yorkshire, England"
Leeds,England,"Leeds, England"
,,","
,,","
"New York, NY",,"New York, NY,"
,,","
,,","
London,England,"London, England"
,,","
,,","
"Georgetown, Guyana",,"Georgetown, Guyana,"
"Georgetown, Guyana",,"Georgetown, Guyana,"
"Georgetown, Guyana",,"Georgetown, Guyana,"
,,","
,,","
,,","
London,England,"London, England"
London,England,"London, England"
San Franciso,,"San Franciso,"
,,","
,,","
"Oxford; Portsmouth, NH",,"Oxford; Portsmouth, NH,"
Port of Spain,,"Port of Spain,"
Macdonald Orbis,,"Macdonald Orbis,"
"Matoury, French Guiana",,"Matoury, French Guiana,"
,,","
"Caroni, Trinidad & Tobago",,"Caroni, Trinidad & Tobago,"
,,","
,,","
,,","
"La Vergne, Tenn.",,"La Vergne, Tenn.,"
,,","
,,","
,,","
"New York, NY",United States,"New York, NY, United States"
,,","
,,","
"New York, NY",United States,"New York, NY, United States"
New Delhi,India,"New Delhi, India"
,,","
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
,,","
,,","
,,","
,,","
,,","
Philadelphia,United States,"Philadelphia, United States"
Chicago,,"Chicago,"
,,","
Frankfurt; Madrid,,"Frankfurt; Madrid,"
Buenos Aires,Argentina,"Buenos Aires, Argentina"
,,","
,,","
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
,,","
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
Montréal,Canada,"Montréal, Canada"
"New York, NY, N.Y.",United States,"New York, NY, N.Y., United States"
"New York, NY; Toronto",,"New York, NY; Toronto,"
,,","
Ch??lons,,"Ch??lons,"
Fort-de-France,Martinique,"Fort-de-France, Martinique"
Fort-de-France,Martinique,"Fort-de-France, Martinique"
Oxford University Press,,"Oxford University Press,"
,,","
,,","
Kingston,Jamaica,"Kingston, Jamaica"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
,,","
,,","
Madrid,Spain,"Madrid, Spain"
"Miami, FL, FL",United States,"Miami, FL, FL, United States"
"Miami, FL, FL",United States,"Miami, FL, FL, United States"
London,England,"London, England"
,,","
,,","
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Santa Clara,Cuba,"Santa Clara, Cuba"
Santa Clara,Cuba,"Santa Clara, Cuba"
"Brooklyn, NY, NY",United States,"Brooklyn, NY, NY, United States"
"Brooklyn, NY, NY",United States,"Brooklyn, NY, NY, United States"
,,","
Manchester,England,"Manchester, England"
Jerusalem,,"Jerusalem,"
,,","
Amsterdam,Netherlands,"Amsterdam, Netherlands"
,Mexico,", Mexico"
Bogota,Colombia,"Bogota, Colombia"
,,","
Cap-Henry,,"Cap-Henry,"
,,","
,,","
,,","
Pp. 149. [Santiago de Cuba,,"Pp. 149. [Santiago de Cuba,"
La Habana,Cuba,"La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
,,","
Santiago de Cuba,Cuba,"Santiago de Cuba, Cuba"
La Habana,Cuba,"La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
La Habana,,"La Habana,"
Ciudad de La Habana,Cuba,"Ciudad de La Habana, Cuba"
Ciudad de La Habana,Cuba,"Ciudad de La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
S.l.,,"S.l.,"
La Habana,Cuba,"La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
S.l.,,"S.l.,"
Ciudad de La Habana,Cuba,"Ciudad de La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
Ciudad de La Habana,Cuba,"Ciudad de La Habana, Cuba"
Ciudad de La Habana,Cuba,"Ciudad de La Habana, Cuba"
La Habana,Cuba,"La Habana, Cuba"
,,","
"Brooklyn, NY, NY",United States,"Brooklyn, NY, NY, United States"
,,","
,,","
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Habana,Cuba,"Habana, Cuba"
,,","
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
,,","
,,","
"New York, NY",United States,"New York, NY, United States"
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
"New York, NY",United States,"New York, NY, United States"
,,","
,,","
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
,,","
"New York, NY",United States,"New York, NY, United States"
,,","
,,","
,,","
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Place of publication not identified,,"Place of publication not identified,"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Place of publication not identified,,"Place of publication not identified,"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
"New York, NY",United States,"New York, NY, United States"
